codigo_de_barras,estoque
7891021006125,368.000
7891022101003,977.000
7891022639001,4.000
7891024110300,144.000
7891024110355,89.000
7891024120804,19.000
7891024127629,11.000
7891024134702,573.000
7891025104315,32.000
7891025110668,36.000
7891025112983,41.000
7891025115656,827.000
7891025117049,6.000
7891025121206,95.000
7891025301516,57.000
7891025320555,284.000
7891025431435,36.000
7891031405017,84.000
7891031409404,68.000
7891031409619,0.000
7891031412176,1009.000
7891035051265,48.000
7891035285165,458.000
7891035800214,975.000
7891040001187,40.000
7891040222476,657.000
7891048038048,76.000
7891048050286,81.000
7891048070246,8.000
7891079000229,2980.000
7891079000311,132.000
7891079008034,130.000
7891079008058,73.000
7891079012840,73.000
7891080100376,13.000
7891080100550,42.000
7891080147289,110.000
7891080147951,1839.000
7891080340741,55.000
7891095100293,27.000
7891095200450,181.000
7891097000263,15.000
7891097000638,37.000
7891097102189,12.000
7891098040565,277.000
7891132001217,62.000
7891132001231,83.000
7891132008957,97.000
7891132009183,470.000
7891132082285,367.000
7891132082346,2016.000
7891132082469,314.000
7891134001819,52.000
7891141031519,723.000
7891143017436,63.000
7891144000109,244.000
7891144000147,235.000
7891149200504,8448.000
7891150000971,17.000
7891150001954,97.000
7891150001961,285.000
7891150021174,4.000
7891150028418,9.000
7891150044616,105.000
7891150049895,420.000
7891150054646,5.000
7891150059924,214.000
7891150061958,16.000
7891150064959,68.000
7891150066663,20.000
7891150069138,294.000
7891150070974,68.000
7891156001040,289.000
7891156002030,19.000
7891156003068,17.000
7891164004248,77.000
7891168100014,74.000
7891172151323,58.000
7891172421174,45.000
7891172422607,36.000
7891203010056,111.000
7891203010100,8.000
7891203010568,26.000
7891203010605,292.000
7891203021106,892.000
7891203021113,29.000
7891203021304,127.000
7891203021601,134.000
7891203058881,18.000
7891203063427,10.000
7891268400076,2.000
7891300908676,1796.000
7891515411121,14.000
7891515500023,48.000
7891515548872,20.000
7891528016504,78.000
7891528016511,37.000
7891528029498,168.000
7891700205320,14.000
7891772157442,22.000
7891910000197,6075.000
7891959014612,393.000
7891962008387,757.000
7891962050065,44.000
7891962050089,77.000
7891962051345,2868.000
7891962053257,237.000
7891962057620,242.000
7891965430789,128.000
7891965430871,134.000
7891965511563,33.000
7891991000727,240.000
7891991000826,2896.000
7891991000840,1476.000
7891991001359,38.000
7891991002653,39.000
7891991015868,661.000
7891999000521,41.000
7891999000576,185.000
7891999003072,37.000
7891999003706,24.000
7891999003713,37.000
7891999007735,7.000
7891999011398,39.000
7891999012388,41.000
7891999014153,64.000
7891999014528,25.000
7891999904805,54.000
7892840235611,242.000
7892840259549,67.000
7892840800000,796.000
7892840808037,782.000
7892840808044,85.000
7892840808051,82.000
7892840808068,1252.000
7892840812423,144.000
7892840815943,116.000
7892840816056,186.000
7892840816094,79.000
7893000043220,74.000
7893000084308,30.000
7893000383005,100.000
7893000394209,4034.000
7893753602408,11.000
7893753602484,53.000
7893753602606,558.000
7894000010021,124.000
7894000050034,1648.000
7894321711263,1460.000
7894321822020,562.000
7894650938430,36.000
7894900010015,7014.000
7894900011517,5273.000
7894900011715,69.000
7894900030013,94.000
7894900320015,207.000
7894900583700,41.000
7894900593709,59.000
7894900700015,1031.000
7894900701517,1148.000
7895144605685,100.000
7896001250710,3.000
7896001282209,32.000
7896002100014,1000.000
7896002300377,34.000
7896002301077,17.000
7896002301510,92.000
7896002301640,26.000
7896002302661,191.000
7896002362054,94.000
7896002368230,84.000
7896003700800,45.000
7896003703078,335.000
7896004400013,99.000
7896004400075,146.000
7896004401409,24.000
7896005202074,808.000
7896005213926,2080.000
7896005220009,23.000
7896005279489,123.000
7896005800010,1082.000
7896005800188,246.000
7896005801529,622.000
7896005802373,538.000
7896005804360,120.000
7896006711155,917.000
7896006744115,439.000
7896007545094,52.000
7896007550883,24.000
7896007912124,85.000
7896009301049,2175.000
7896010100297,123.000
