codigo_de_barras,oferta,data_inicio,data_fim
8002153227107,59.90,2021-05-04,2021-05-09
8002153227121,59.90,2021-05-04,2021-05-09
8002153227091,59.90,2021-05-04,2021-05-09
8002153219997,59.90,2021-05-04,2021-05-09
8004012000180,84.90,2021-05-04,2021-05-09
7894900093483,9.90,2021-05-04,2021-05-09
7894900038972,9.90,2021-05-04,2021-05-09
7896045523412,3.89,2021-05-04,2021-05-09
7898915949209,2.39,2021-05-04,2021-05-09
7891083611152,69.90,2021-05-04,2021-05-09
7896002100014,7.99,2021-05-04,2021-05-09
7891000086254,1.59,2021-05-04,2021-05-09
7622210961679,3.99,2021-05-04,2021-05-09
7622300991456,3.99,2021-05-04,2021-05-09
7622300991418,3.99,2021-05-04,2021-05-09
7622300991371,3.99,2021-05-04,2021-05-09
7622210961716,3.99,2021-05-04,2021-05-09
7622210961969,3.99,2021-05-04,2021-05-09
7622210962072,3.99,2021-05-04,2021-05-09
7622210936707,3.99,2021-05-04,2021-05-09
7622300991524,3.99,2021-05-04,2021-05-09
7622300992071,3.99,2021-05-04,2021-05-09
7506174500207,1.99,2021-05-04,2021-05-09
7894321711263,4.59,2021-05-04,2021-05-09
7898215152002,3.89,2021-05-04,2021-05-09
7896014123902,11.99,2021-05-04,2021-05-09
7899026440234,11.99,2021-05-04,2021-05-09
7899026425088,11.99,2021-05-04,2021-05-09
7899026420465,11.99,2021-05-04,2021-05-09
7896014148844,11.99,2021-05-04,2021-05-09
7899026421776,11.99,2021-05-04,2021-05-09
7896014102358,11.99,2021-05-04,2021-05-09
7896014160075,11.99,2021-05-04,2021-05-09
7896014123889,11.99,2021-05-04,2021-05-09
7899026415553,11.99,2021-05-04,2021-05-09
7896014137169,11.99,2021-05-04,2021-05-09
7896014123476,11.99,2021-05-04,2021-05-09
7899026487208,11.99,2021-05-04,2021-05-09
7899026487321,11.99,2021-05-04,2021-05-09
7899026483781,11.99,2021-05-04,2021-05-09
7899026419537,11.99,2021-05-04,2021-05-09
7899026413696,11.99,2021-05-04,2021-05-09
7899026412576,11.99,2021-05-04,2021-05-09
7899026464933,11.99,2021-05-04,2021-05-09
7898587764926,11.99,2021-05-04,2021-05-09
7898587774437,11.99,2021-05-04,2021-05-09
7899706113182,11.99,2021-05-04,2021-05-09
7899706124225,11.99,2021-05-04,2021-05-09
7899706133418,11.99,2021-05-04,2021-05-09
7899706152129,11.99,2021-05-04,2021-05-09
